,Compound,Date,Negative,Neutral,Positive,Tweets Ago,tweet,username
0,-0.2023,Fri Oct 05 07:08:00 +0000 2018,0.847,0.153,0.0,1,.@Toyota recalling 2.4M hydrid vehicles over stalling issue (via @FoxBusiness https://t.co/2GaLzCzHVv,@foxnews
1,0.0,Fri Oct 05 07:01:00 +0000 2018,1.0,0.0,0.0,2,"Senator @ChuckGrassley: ""This person is very well-qualified — a person who believes in the principles of due proces… https://t.co/9LWxcrAj5J",@foxnews
2,0.4019,Fri Oct 05 06:53:00 +0000 2018,0.748,0.0,0.252,3,"Report details 'vulnerabilities' in industries vital to national defense, US official says https://t.co/YzR86CtxTa",@foxnews
3,-0.6124,Fri Oct 05 06:45:00 +0000 2018,0.694,0.245,0.06,4,"Senator @OrrinHatch: ""I'm disappointed in my Democratic colleagues for what they're doing. There's no excuse for it… https://t.co/j7ny227I2F",@foxnews
4,0.4173,Fri Oct 05 06:38:00 +0000 2018,0.812,0.0,0.188,5,"September jobs report - will higher wages, more jobs attract workers? (via @FoxBusiness) https://t.co/OYqbd5Ca7f",@foxnews
5,0.3182,Fri Oct 05 06:31:00 +0000 2018,0.892,0.0,0.108,6,".@senatemajldr: ""What we know for sure is the @FBI report did not corroborate any of the allegations against Judge… https://t.co/EwDFqhsx1B",@foxnews
6,-0.0258,Fri Oct 05 06:23:02 +0000 2018,0.61,0.221,0.169,7,Actress-model @emrata tweeted Thursday that authorities detained her at a protest against the Supreme Court nominat… https://t.co/cEvxnuvqSK,@foxnews
7,0.0,Fri Oct 05 06:15:00 +0000 2018,1.0,0.0,0.0,8,"Senator @ChuckGrassley: ""Let the @FBI do what the FBI is hired to do and keep political interference out of it."" https://t.co/0mj4L6IUaX",@foxnews
8,-0.3612,Fri Oct 05 06:08:00 +0000 2018,0.865,0.135,0.0,9,.@BenAffleck breaks silence after completing third rehab stint: 'I am fighting for myself and my family' https://t.co/1E9JCShW2x,@foxnews
9,0.0,Fri Oct 05 06:01:46 +0000 2018,1.0,0.0,0.0,10,@FLOTUS Melania Trump visits a Kenyan elephant orphanage. https://t.co/2qprWC4bdg,@foxnews
10,0.7269,Fri Oct 05 06:01:00 +0000 2018,0.697,0.0,0.303,11,.@LindseyGrahamSC: “I’m confident the FBI did a good job. They were not hindered in any way.” https://t.co/2xfw9x8pTu,@foxnews
11,0.8316,Fri Oct 05 05:53:00 +0000 2018,0.495,0.077,0.428,12,North Carolina mom praises @olivegarden waitress for act of kindness: ‘I seriously admire you’ https://t.co/IcbkfGGFgz,@foxnews
12,0.0,Fri Oct 05 05:45:00 +0000 2018,1.0,0.0,0.0,13,"Sen. @LindseyGrahamSC: ""This is the defining moment in the 2018 election."" @IngrahamAngle https://t.co/VipLkkIz9W",@foxnews
13,-0.7096,Fri Oct 05 05:37:00 +0000 2018,0.753,0.247,0.0,14,Lion named Mufasa has face and paws hacked off as four other big cats found poisoned in wildlife reserve https://t.co/syPPtucPTr,@foxnews
14,0.0,Fri Oct 05 05:30:00 +0000 2018,1.0,0.0,0.0,15,"Sen. @LindseyGrahamSC on Brett Kavanaugh: ""He's going to get on the court."" @IngrahamAngle https://t.co/EMSKzVpTiQ",@foxnews
15,0.0,Fri Oct 05 05:23:00 +0000 2018,1.0,0.0,0.0,16,"Amid Kavanaugh probe, @Alyssa_Milano now says @BillClinton 'probably should've' faced sex misconduct investigation https://t.co/zTaLSXK3zO",@foxnews
16,0.0,Fri Oct 05 05:15:00 +0000 2018,1.0,0.0,0.0,17,".@KellyannePolls: ""Now it's time to vote."" @IngrahamAngle https://t.co/pJ6hSjnfb0",@foxnews
17,-0.0772,Fri Oct 05 05:08:00 +0000 2018,0.909,0.091,0.0,18,New US nuclear bombs and futuristic stealth aircraft to provide mind-boggling military might https://t.co/yIw0JYjLYb,@foxnews
18,-0.4588,Fri Oct 05 05:00:02 +0000 2018,0.85,0.15,0.0,19,".@KelleyAshbyPaul: “From our perspective, since @RandPaul has been shot at and physically attacked in the last year… https://t.co/HFnw8kTkMj",@foxnews
19,0.0,Fri Oct 05 04:52:46 +0000 2018,1.0,0.0,0.0,20,Judiciary Committee releases executive summary of supplemental FBI report on Kavanaugh https://t.co/qzrNIeP7Hv,@foxnews
20,0.3612,Fri Oct 05 04:45:00 +0000 2018,0.872,0.0,0.128,21,.@SenThomTillis: “I feel like what we reviewed today in the classified setting…even further galvanized my belief th… https://t.co/XKP6b5Bjzk,@foxnews
21,0.0,Fri Oct 05 04:38:00 +0000 2018,1.0,0.0,0.0,22,"Volkswagen Beetle not driven since 1964 on sale for $1,000,000 https://t.co/7HEx0KVOT0",@foxnews
22,0.0,Fri Oct 05 04:30:00 +0000 2018,1.0,0.0,0.0,23,".@ChrisStirewalt: “The Kavanaugh thing comes along, and it unites the Republican Party.” @FoxNewsNight… https://t.co/jDKrvk5pzl",@foxnews
23,0.0,Fri Oct 05 04:25:41 +0000 2018,1.0,0.0,0.0,24,Mysterious hole shooting out flames in Arkansas stumps officials: We've 'ruled out' Satan https://t.co/NUMXlqMGC4,@foxnews
24,0.0,Fri Oct 05 04:15:00 +0000 2018,1.0,0.0,0.0,25,".@POTUS: ""In less than two years of Republican leadership, America has achieved the biggest comeback in our history… https://t.co/PKV0zBOosY",@foxnews
25,0.0,Fri Oct 05 04:08:00 +0000 2018,1.0,0.0,0.0,26,"Honeybees, in decline for decades, finding new homes in unusual places https://t.co/0XqJuq1PrR",@foxnews
26,-0.5423,Fri Oct 05 04:01:00 +0000 2018,0.844,0.156,0.0,27,".@POTUS: ""The Democrats have been trying to destroy Judge Brett Kavanaugh since the very first second he was announ… https://t.co/JTMJNhGFjq",@foxnews
27,0.7506,Fri Oct 05 03:50:00 +0000 2018,0.758,0.0,0.242,28,.@SteveDaines: “My goal this weekend is to walk my daughter down the aisle and to see a new United States Supreme C… https://t.co/TmDvUAo8lN,@foxnews
28,-0.1531,Fri Oct 05 03:42:00 +0000 2018,0.922,0.078,0.0,29,".@SteveDaines on his daughter’s wedding falling on same day as Kavanaugh vote: “A month ago, wouldn’t expect this t… https://t.co/eITlPVMiCA",@foxnews
29,0.25,Fri Oct 05 03:36:00 +0000 2018,0.895,0.0,0.105,30,Democratic Rep. @BetoORourke said he doesn’t mind the fact that former President @BarackObama has endorsed 11 other… https://t.co/jcKW3PnF1C,@foxnews
30,0.0,Fri Oct 05 03:30:00 +0000 2018,1.0,0.0,0.0,31,Josh Schwerin: “There are dozens of people who have contacted the @FBI and said they have credible information…The… https://t.co/Cdop5A43O6,@foxnews
31,0.0,Fri Oct 05 03:22:16 +0000 2018,1.0,0.0,0.0,32,President @realdonaldtrump arrives at Joint Base Andrews. https://t.co/ExWdumSkKB,@foxnews
32,-0.6124,Fri Oct 05 03:16:15 +0000 2018,0.643,0.357,0.0,33,Hundreds arrested as Kavanaugh protests continue all night @FoxNewsNight https://t.co/Ybry6Aycue https://t.co/v0vY2UE99p,@foxnews
33,0.0,Fri Oct 05 03:03:41 +0000 2018,1.0,0.0,0.0,34,.@Sen_JoeManchin on Kavanaugh’s FBI report @foxnewsnight https://t.co/Y8plh7Ovmx,@foxnews
34,0.0,Fri Oct 05 02:59:53 +0000 2018,1.0,0.0,0.0,35,"Lawyer for Clinton campaign and DNC gave FBI documents for Russia probe, sources say. https://t.co/3sqbW4snbT",@foxnews
35,0.0,Fri Oct 05 02:44:42 +0000 2018,1.0,0.0,0.0,36,Geese and ducks with darts through their necks photographed in Idaho park. https://t.co/WgEfO8Trxn,@foxnews
36,-0.296,Fri Oct 05 02:37:00 +0000 2018,0.833,0.167,0.0,37,"No more signs of life in Indonesia hotel rubble, rescuers say. https://t.co/yHSYOdVJEj",@foxnews
37,-0.1027,Fri Oct 05 02:27:27 +0000 2018,0.604,0.209,0.187,38,.@TuckerCarlson: The Dems' 'Full Assault on Justice System' Will Intensify in 2019. https://t.co/nxwN74X8Gv,@foxnews
38,0.34,Fri Oct 05 02:21:03 +0000 2018,0.844,0.0,0.156,39,Laurie Metcalf and John Lithgow tapped to play @HillaryClinton and @BillClinton on Broadway https://t.co/9Ga9MdBWHW,@foxnews
39,0.0,Fri Oct 05 02:16:53 +0000 2018,1.0,0.0,0.0,40,New White House counterterrorism strategy singles out 'radical Islamists' https://t.co/RMJPXeE8sQ,@foxnews
40,0.4019,Fri Oct 05 02:07:19 +0000 2018,0.748,0.0,0.252,41,Facebook executive's Kavanaugh support triggers backlash for Zuckerberg. https://t.co/5cIqH5MC77,@foxnews
41,0.4939,Fri Oct 05 01:59:00 +0000 2018,0.769,0.0,0.231,42,Lockheed Martin's huge Moon lander would allow astronauts to stay on lunar surface for 2 weeks https://t.co/pHY45wQKp9,@foxnews
42,-0.3612,Fri Oct 05 01:53:00 +0000 2018,0.645,0.235,0.12,43,Comedian @amyschumer raises her fist after she was reportedly arrested during a protest against the confirmation of… https://t.co/iVuCyETu2C,@foxnews
43,0.4767,Fri Oct 05 01:46:41 +0000 2018,0.763,0.0,0.237,44,Kavanaugh's prep school friends say 'Devil's Triangle' was a drinking game https://t.co/Yq3OXL3HdX,@foxnews
44,-0.3818,Fri Oct 05 01:39:16 +0000 2018,0.852,0.148,0.0,45,"John Fund: In Kavanaugh confirmation fight, will Dems be hit by a Brett boomerang in November? https://t.co/zuF1RxgYlV",@foxnews
45,0.3818,Fri Oct 05 01:31:17 +0000 2018,0.833,0.0,0.167,46,MUST SEE: Two-Year-Old Girl Helps Dad Learn 'Pledge of Allegiance' for Citizenship Test https://t.co/ojXj5tPddg,@foxnews
46,-0.3182,Fri Oct 05 01:22:00 +0000 2018,0.769,0.149,0.082,47,"Kavanaugh, in op-ed, decries 'vicious' attacks while saying he 'might have been too emotional' at hearing https://t.co/ihyOyvjFyu",@foxnews
47,-0.25,Fri Oct 05 01:16:00 +0000 2018,0.728,0.16,0.112,48,OPINION: FBI investigation of Kavanaugh failed to question enough key people to get to the truth https://t.co/PaRw5Lpr98,@foxnews
48,0.0,Fri Oct 05 01:08:55 +0000 2018,1.0,0.0,0.0,49,'It's a Bulls**t Investigation': NJ Sen. Menendez Blasts FBI's Kavanaugh Probe https://t.co/Tvm1WrVKcp,@foxnews
49,0.0,Fri Oct 05 01:07:54 +0000 2018,1.0,0.0,0.0,50,"Carrie Underwood, Brad Paisley host 2018 CMAs: 5 memorable moments from the country superstars https://t.co/ZH8o6ONmTp",@foxnews
50,0.0,Fri Oct 05 00:56:35 +0000 2018,1.0,0.0,0.0,51,"Louisiana man claims 'ghost' planted meth at his home, falsely reports stabbing, sheriff says. https://t.co/mNbnLxZxSo",@foxnews
51,0.0,Fri Oct 05 00:43:00 +0000 2018,1.0,0.0,0.0,52,"In an op-ed for @wsj, Judge Brett Kavanaugh addressed his testimony to the Senate Judiciary Committee last week, sa… https://t.co/rjZ49HAsIf",@foxnews
52,0.25,Fri Oct 05 00:35:26 +0000 2018,0.652,0.13,0.217,53,"“I don’t think we’re interested"" in an endorsement from @BarackObama, Rep. @BetoORourke said after being snubbed in… https://t.co/F6Z0WmUTpI",@foxnews
53,0.2732,Fri Oct 05 00:27:00 +0000 2018,0.606,0.164,0.23,54,".@TuckerCarlson: ""Win or lose, Kavanaugh's nomination will be voted on."" #Tucker https://t.co/QGAyWddjyn",@foxnews
54,0.0,Fri Oct 05 00:21:20 +0000 2018,1.0,0.0,0.0,55,Whale watchers witnessed a spectacular sight Wednesday of a humpback whale breaching with a glowing rainbow behind… https://t.co/XjhUmxiGC2,@foxnews
55,-0.1531,Fri Oct 05 00:17:01 +0000 2018,0.89,0.11,0.0,56,"As Kavanaugh vote looms, GOP Sen. @SteveDaines says he's going to daughter's wedding. https://t.co/aDbZpfsqNd",@foxnews
56,0.0,Fri Oct 05 00:08:08 +0000 2018,1.0,0.0,0.0,57,"Kavanaugh fate hangs in balance, with 3 swing-vote senators 'trying to get to yes,' source says. https://t.co/qFdXUW8Og0",@foxnews
57,-0.5423,Fri Oct 05 00:02:31 +0000 2018,0.844,0.156,0.0,58,".@POTUS: ""The Democrats have been trying to destroy Judge Brett Kavanaugh since the very first second he was announ… https://t.co/6Jnzmy5qJb",@foxnews
58,-0.3182,Fri Oct 05 00:01:10 +0000 2018,0.78,0.141,0.078,59,"BREAKING: Kavanaugh pens op-ed, decries 'vicious' attacks while saying he 'might have been too emotional' at hearin… https://t.co/QZeWjJdWtB",@foxnews
59,-0.4404,Thu Oct 04 23:51:21 +0000 2018,0.828,0.172,0.0,60,".@POTUS: ""The only reason to vote Democrat is because you're tired of winning."" https://t.co/LyueZxBslo https://t.co/yPBFzoazNu",@foxnews
60,0.7845,Thu Oct 04 23:50:28 +0000 2018,0.574,0.109,0.317,61,".@POTUS on trade: ""NAFTA has been one of the great disasters of all time. And now we have a great and fair deal.""… https://t.co/wLD1CN8YT7",@foxnews
61,0.2716,Thu Oct 04 23:46:10 +0000 2018,0.901,0.0,0.099,62,".@POTUS: ""We're just five weeks away from one of the most important congressional elections in our lifetime. You se… https://t.co/zTVGJUOnXl",@foxnews
62,0.0,Thu Oct 04 23:42:21 +0000 2018,1.0,0.0,0.0,63,".@POTUS: ""In less than two years of Republican leadership, America has achieved the biggest comeback in our history… https://t.co/pTb8ntOCBJ",@foxnews
63,0.0,Thu Oct 04 23:38:08 +0000 2018,1.0,0.0,0.0,64,".@POTUS in Minnesota: ""This is supposed to be a Democrat state. I don't think so."" https://t.co/LyueZxBslo https://t.co/XHWWDzmLce",@foxnews
64,0.0,Thu Oct 04 23:37:06 +0000 2018,1.0,0.0,0.0,65,HAPPENING NOW: @POTUS holds rally in Minnesota ahead of the midterms. https://t.co/LyueZxBslo https://t.co/HpPcqanj9L,@foxnews
65,0.6249,Thu Oct 04 23:33:01 +0000 2018,0.709,0.0,0.291,66,".@POTUS holds a ""Make America Great Again"" rally in Rochester, Minnesota. https://t.co/JKBHEla2e1",@foxnews
66,0.0,Thu Oct 04 23:32:39 +0000 2018,1.0,0.0,0.0,67,.@realDonaldTrump holds Minnesota rally as key Kavanaugh vote approaches https://t.co/gLPwQfnUv3,@foxnews
67,0.0,Thu Oct 04 23:28:27 +0000 2018,1.0,0.0,0.0,68,".@RajShah45 on Judge Kavanaugh: ""He's looking forward to the Senate taking action tomorrow on the cloture motion an… https://t.co/NbQsRUr9yA",@foxnews
68,0.6705,Thu Oct 04 23:14:52 +0000 2018,0.732,0.0,0.268,69,".@RajShah45 on Kavanaugh vote: ""We're cautiously optimistic. I'd say we remain confident at this hour."" #TheStory… https://t.co/eR75BS5YHo",@foxnews
69,0.0,Thu Oct 04 23:10:48 +0000 2018,1.0,0.0,0.0,70,.@ChuckGrassley is calling out the Democrats and the media over how they've handled the controversy surrounding Jud… https://t.co/RIECcl4UJK,@foxnews
70,0.5994,Thu Oct 04 23:04:00 +0000 2018,0.604,0.0,0.396,71,.@CalThomas: Trump promised to put American interests first – he wasn’t kidding https://t.co/xu9138dQ4n,@foxnews
71,0.4588,Thu Oct 04 23:00:55 +0000 2018,0.745,0.074,0.181,72,Retired Justice John Paul Stevens calls Kavanaugh's temperament disqualifying: 'Senators should pay attention to th… https://t.co/7sjdL06XCV,@foxnews
72,0.0,Thu Oct 04 22:59:39 +0000 2018,1.0,0.0,0.0,73,"RT @FoxBusiness: Verizon's severance offer goes to about 44,000 employees  https://t.co/2XzOfGDNjr",@foxnews
73,-0.891,Thu Oct 04 22:49:52 +0000 2018,0.551,0.449,0.0,74,"Florida man arrested for threats to kill Democrats, 'weak' Republicans, over Kavanaugh nomination, sheriff says. https://t.co/sztAEGZuhq",@foxnews
74,0.0,Thu Oct 04 22:38:59 +0000 2018,1.0,0.0,0.0,75,"Utah toddler put $1,000 through shredder, parents say. https://t.co/CrBF0RUX58",@foxnews
75,0.0,Thu Oct 04 22:30:32 +0000 2018,1.0,0.0,0.0,76,.@SenatorHeitkamp says she's voting 'no' on Kavanaugh. https://t.co/9x1F8lrBcU https://t.co/7W05qHAyAa,@foxnews
76,-0.296,Thu Oct 04 22:27:59 +0000 2018,0.855,0.145,0.0,77,.@FLOTUS continued her tour through Africa today with a stop in Malawi. #SpecialReport https://t.co/J9XIl8sVcR https://t.co/gRuaXkqD2x,@foxnews
77,0.0,Thu Oct 04 22:23:28 +0000 2018,1.0,0.0,0.0,78,"RT @FoxBusiness: AT THE CLOSE: The Dow Jones Industrial Average was down by triple digits Thursday, and the other two major U.S. stock benc…",@foxnews
78,-0.6597,Thu Oct 04 22:22:03 +0000 2018,0.625,0.375,0.0,79,Suspect behind the ricin scare is in custody. #SpecialReport https://t.co/VIodJYg7zW https://t.co/dBFHxsVfrI,@foxnews
79,0.0,Thu Oct 04 22:16:01 +0000 2018,1.0,0.0,0.0,80,"JUST IN: Lawyer for Clinton campaign and DNC gave FBI documents for Russia probe, sources say. https://t.co/3sqbW4aLNj",@foxnews
80,-0.5574,Thu Oct 04 22:10:00 +0000 2018,0.635,0.365,0.0,81,.@emrata and @amyschumer detained at Kavanaugh protests in D.C. https://t.co/riU4MJMu4L,@foxnews
81,-0.25,Thu Oct 04 22:05:00 +0000 2018,0.741,0.153,0.106,82,.@maryannemarsh: FBI investigation of Kavanaugh failed to question enough key people to get to the truth. (via… https://t.co/XITbJn40xk,@foxnews
82,-0.2732,Thu Oct 04 21:58:25 +0000 2018,0.565,0.249,0.186,83,Cancer patient’s final act was to find home for beloved dog https://t.co/a55zSRvTSs,@foxnews
83,-0.5859,Thu Oct 04 21:53:59 +0000 2018,0.73,0.27,0.0,84,WATCH: Arrests Made as Amy Schumer Joins Kavanaugh Mass Protests in Hart Senate Building https://t.co/vH5DDYgrga,@foxnews
84,0.6249,Thu Oct 04 21:51:25 +0000 2018,0.796,0.0,0.204,85,".@POTUS departs Minneapolis for Rochester, Minnesota, where he will hold a ""Make America Great Again"" rally tonight. https://t.co/3sdpvKsSAP",@foxnews
85,0.4404,Thu Oct 04 21:50:07 +0000 2018,0.861,0.0,0.139,86,".@JohnCornyn on Kavanaugh hearing: ""This could have been handled much better and I think in a way there would have… https://t.co/yiFr1NConm",@foxnews
86,0.5574,Thu Oct 04 21:46:15 +0000 2018,0.825,0.0,0.175,87,".@JudgeJeanine on Kavanaugh's impact on the midterms: ""Let's assume that Kavanaugh gets on the Supreme Court. Will… https://t.co/Nsvwb14Xxl",@foxnews
87,-0.8934,Thu Oct 04 21:34:06 +0000 2018,0.377,0.536,0.088,88,"Michelle Carter, woman convicted in suicide texting case, committed no crime, lawyer argues https://t.co/Ej1RkJO9MN",@foxnews
88,-0.8176,Thu Oct 04 21:33:35 +0000 2018,0.528,0.377,0.094,89,"Florida man threatens he's 'about ready to kill' neighbor, himself over walkway dispute during city council meeting https://t.co/0fLiuDIiOw",@foxnews
89,0.0,Thu Oct 04 21:30:00 +0000 2018,1.0,0.0,0.0,90,Venomous false widow spider infestation forces London schools to shut https://t.co/388OlAm7r8,@foxnews
90,0.0,Thu Oct 04 21:20:08 +0000 2018,1.0,0.0,0.0,91,6.5 million pounds of beef recalled over salmonella concerns https://t.co/h9eyNPPJJl,@foxnews
91,0.0,Thu Oct 04 21:04:00 +0000 2018,1.0,0.0,0.0,92,"Minnesota city sees influx of ‘drunk’ birds flying into cars, windows, officials say https://t.co/X3twXUM2mp",@foxnews
92,0.0,Thu Oct 04 20:58:00 +0000 2018,1.0,0.0,0.0,93,"On Thursday, Senator @LindseyGrahamSC commented on the @FBI's report on sexual misconduct allegations against Judge… https://t.co/XUwNSIbk26",@foxnews
93,-0.34,Thu Oct 04 20:54:00 +0000 2018,0.854,0.146,0.0,94,.@VP Pence accuses Beijing of meddling in US elections: ‘China wants a different American president’ https://t.co/5H0j4AsTnW,@foxnews
94,-0.296,Thu Oct 04 20:47:51 +0000 2018,0.879,0.121,0.0,95,"Pressure mounts on 4 swing senators to decide Kavanaugh's fate, on heels of FBI report. (via @brookefoxnews) https://t.co/JvTqTTnltv",@foxnews
95,0.0,Thu Oct 04 20:40:47 +0000 2018,1.0,0.0,0.0,96,"Woman tells New Jersey police she doesn't know who she is, has been walking for a year. https://t.co/ldRHA3xeBs",@foxnews
96,0.552,Thu Oct 04 20:34:00 +0000 2018,0.737,0.0,0.263,97,"Uber, Lyft offer free rides to polls for midterm elections. https://t.co/mjrPbUeDwZ",@foxnews
97,0.0,Thu Oct 04 20:28:05 +0000 2018,1.0,0.0,0.0,98,".@SenatorRounds on the Kavanaugh FBI report: ""It was very informative as far as I was concerned."" #Cavuto https://t.co/80JBU79qDq",@foxnews
98,-0.2263,Thu Oct 04 20:24:53 +0000 2018,0.826,0.174,0.0,99,Massive anti-Kavanaugh protests continue inside a Senate office building. #Cavuto https://t.co/uAWUzYVQFY,@foxnews
99,0.0,Thu Oct 04 20:19:03 +0000 2018,1.0,0.0,0.0,100,"Grassley blasts Dems, media over Kavanaugh treatment, says confirmation should come Saturday. https://t.co/M5mxWinQGm",@foxnews
100,-0.4939,Fri Oct 05 06:40:11 +0000 2018,0.738,0.262,0.0,1,Former S Korea president Lee Myung-bak jailed for 15 years https://t.co/c6la1caYvD,@BBCWorld
101,-0.3818,Fri Oct 05 04:03:18 +0000 2018,0.615,0.254,0.131,2,China prison break: Public appeal after rare inmate escape https://t.co/kjf3fnms5t,@BBCWorld
102,-0.5106,Fri Oct 05 01:22:01 +0000 2018,0.732,0.268,0.0,3,Hot look or provocative? Outcry at Polish teens guidebook https://t.co/ZmOUEZlenw,@BBCWorld
103,0.0,Fri Oct 05 01:17:42 +0000 2018,1.0,0.0,0.0,4,'Why not?': Transgender candidate busts stereotypes in Brazil https://t.co/cCFMdAwSEu,@BBCWorld
104,0.0,Fri Oct 05 01:04:33 +0000 2018,1.0,0.0,0.0,5,Africa's week in pictures: 28 September - 4 October 2018 https://t.co/FrBrEh4T2P,@BBCWorld
105,0.7414,Fri Oct 05 00:35:00 +0000 2018,0.657,0.0,0.343,6,James Ricketson case: 'Dad saved my life so I helped save him from jail' https://t.co/rHrAl7Lz3r,@BBCWorld
106,-0.128,Fri Oct 05 00:09:30 +0000 2018,0.408,0.347,0.245,7,Brett Kavanaugh: Hundreds arrested in Supreme Court protest https://t.co/K7qhruTulT,@BBCWorld
107,-0.4767,Thu Oct 04 23:34:27 +0000 2018,0.721,0.279,0.0,8,Fake news: French language body urges alternative phrase https://t.co/gwO4ElSjKv,@BBCWorld
108,0.0,Thu Oct 04 23:11:58 +0000 2018,1.0,0.0,0.0,9,Why a US national park is holding a 'Fat Bear Week' contest https://t.co/Oc3Cdq4lDP,@BBCWorld
109,0.0,Thu Oct 04 21:19:45 +0000 2018,1.0,0.0,0.0,10,"Girl, 8, pulls a 1,500-year-old sword from a lake in Sweden https://t.co/rAaoU2WtOD",@BBCWorld
110,-0.34,Thu Oct 04 20:45:03 +0000 2018,0.882,0.118,0.0,11,"RT @BBCNorthAmerica: The @BBCNorthAmerica investigation “Don’t Shoot, I’m Disabled” releases today. Here’s why you should check it out:

ht…",@BBCWorld
111,-0.6908,Thu Oct 04 20:44:57 +0000 2018,0.63,0.37,0.0,12,Cristiano Ronaldo rape allegation: Nike expresses deep concern https://t.co/MBNeaNbbig,@BBCWorld
112,-0.6124,Thu Oct 04 20:40:53 +0000 2018,0.667,0.333,0.0,13,Ex-rap mogul Suge Knight sentenced to 28 years for hit-and-run death https://t.co/1Ojh3JwyXf,@BBCWorld
113,0.0,Thu Oct 04 19:07:25 +0000 2018,1.0,0.0,0.0,14,Diplomats thrown out in Ukraine-Hungary passport https://t.co/xN1cQ2ycI1,@BBCWorld
114,-0.4019,Thu Oct 04 18:52:03 +0000 2018,0.821,0.179,0.0,15,"US town warns residents not to be too concerned about birds ""flying into windows, cars and acting confused"" https://t.co/veNfzqj16N",@BBCWorld
115,-0.2411,Thu Oct 04 18:40:31 +0000 2018,0.859,0.141,0.0,16,Canada is not inviting the US or China to WTO reform meeting https://t.co/bJ7vtQhhX7,@BBCWorld
116,-0.4939,Thu Oct 04 18:17:49 +0000 2018,0.738,0.262,0.0,17,Man jailed for slapping woman in viral French video https://t.co/kweS8uiT4w,@BBCWorld
117,0.4939,Thu Oct 04 18:06:03 +0000 2018,0.775,0.0,0.225,18,Aid charities ActionAid and Plan to be turfed out of Pakistan https://t.co/23bHtLWrKP,@BBCWorld
118,-0.6369,Thu Oct 04 17:22:04 +0000 2018,0.606,0.394,0.0,19,Brett Kavanaugh accusations: Are young men in America scared? https://t.co/VV3Ir2QYsA,@BBCWorld
119,-0.7269,Thu Oct 04 17:19:44 +0000 2018,0.567,0.433,0.0,20,South Carolina: Police shooting suspect is disabled war veteran https://t.co/fmoUcyP1rM,@BBCWorld
120,0.0,Thu Oct 04 16:07:21 +0000 2018,1.0,0.0,0.0,21,Minnesota town alerts residents over 'tipsy' birds https://t.co/wiRkFLFnef,@BBCWorld
121,0.0,Thu Oct 04 15:51:25 +0000 2018,1.0,0.0,0.0,22,"Staff working to keep Palu's airport open after Indonesia earthquake

[Tap to expand]

https://t.co/vcJMb3dkLR https://t.co/K4FvOzvcr8",@BBCWorld
122,0.0,Thu Oct 04 15:47:34 +0000 2018,1.0,0.0,0.0,23,"Senators spar over FBI report on Kavanaugh 

https://t.co/YmCqFgLyIA https://t.co/Rq0OIGBLjf",@BBCWorld
123,0.7964,Thu Oct 04 15:32:53 +0000 2018,0.496,0.0,0.504,24,Archibald Knox exhibition: Liberty designer's 'sheer genius' celebrated https://t.co/aY3INXmfzo,@BBCWorld
124,-0.6369,Thu Oct 04 15:03:11 +0000 2018,0.802,0.198,0.0,25,"""Without zoos nature will be doomed"" - @NatGeo photographer Joel Sartore responds to those who say keeping animals… https://t.co/u8tmQe8XiP",@BBCWorld
125,-0.6908,Thu Oct 04 15:01:34 +0000 2018,0.701,0.299,0.0,26,RT @BBCTech: Fitbit data used to charge US man with murder https://t.co/lMl2Q36Dcu,@BBCWorld
126,0.0,Thu Oct 04 14:37:12 +0000 2018,1.0,0.0,0.0,27,RT @bbcworldservice: The first 'exomoon' (that's a moon outside our Solar System for non-space experts) may have been found. Here's @david_…,@BBCWorld
127,0.5574,Thu Oct 04 14:33:59 +0000 2018,0.847,0.0,0.153,28,"Julia Roberts: If Brett Kavanaugh gets on to the Supreme Court it ""will affect our children and our children's chil… https://t.co/ZvXI2T7Gp8",@BBCWorld
128,0.0,Thu Oct 04 14:25:09 +0000 2018,1.0,0.0,0.0,29,Drew Barrymore: 'Surreal' article defended by EgyptAir https://t.co/weLSVAZGyd,@BBCWorld
129,0.0,Thu Oct 04 14:12:06 +0000 2018,1.0,0.0,0.0,30,How credible are lie detector tests? https://t.co/0MvQtC3LaM,@BBCWorld
130,0.0,Thu Oct 04 14:02:04 +0000 2018,1.0,0.0,0.0,31,"The staff working tirelessly to keep Palu's barely functional airport open, following the city's deadly earthquake… https://t.co/Vxd1Iu4d3B",@BBCWorld
131,0.3182,Thu Oct 04 13:58:59 +0000 2018,0.892,0.0,0.108,32,"""Russia decided that it was fair game to flood the social and traditional media with the private medical informatio… https://t.co/ZdwDX9uqKn",@BBCWorld
